nmr_dapil,nama_dapil,nmr_wilayah,jml_kursi,nama_wilayah
1101,ACEH I,[1],7,ACEH
1102,ACEH II,[1],6,ACEH
1201,SUMATERA UTARA I,[6728],10,SUMATERA UTARA
1202,SUMATERA UTARA II,[6728],10,SUMATERA UTARA
1203,SUMATERA UTARA III,[6728],10,SUMATERA UTARA
1301,SUMATERA BARAT I,[12920],8,SUMATERA BARAT
1302,SUMATERA BARAT II,[12920],6,SUMATERA BARAT
1401,RIAU I,[14086],7,RIAU
1402,RIAU II,[14086],6,RIAU
1501,JAMBI,[15885],8,JAMBI
1601,SUMATERA SELATAN I,[17404],8,SUMATERA SELATAN
1602,SUMATERA SELATAN II,[17404],9,SUMATERA SELATAN
1701,BENGKULU,[20802],4,BENGKULU
1801,LAMPUNG I,[22328],10,LAMPUNG
1802,LAMPUNG II,[22328],10,LAMPUNG
1901,KEPULAUAN BANGKA BELITUNG,[24993],3,KEPULAUAN BANGKA BELITUNG
2101,KEPULAUAN RIAU,[25405],4,KEPULAUAN RIAU
3101,DKI JAKARTA I,[25823],6,DKI JAKARTA
3102,DKI JAKARTA II,[25823],7,DKI JAKARTA
3103,DKI JAKARTA III,[25823],8,DKI JAKARTA
-99,LUAR NEGERI,[-99],,LUAR NEGERI
3201,JAWA BARAT I,[26141],7,JAWA BARAT
3202,JAWA BARAT II,[26141],10,JAWA BARAT
3203,JAWA BARAT III,[26141],9,JAWA BARAT
3204,JAWA BARAT IV,[26141],6,JAWA BARAT
3205,JAWA BARAT V,[26141],9,JAWA BARAT
3206,JAWA BARAT VI,[26141],6,JAWA BARAT
3207,JAWA BARAT VII,[26141],10,JAWA BARAT
3208,JAWA BARAT VIII,[26141],9,JAWA BARAT
3209,JAWA BARAT IX,[26141],8,JAWA BARAT
3210,JAWA BARAT X,[26141],7,JAWA BARAT
3211,JAWA BARAT XI,[26141],10,JAWA BARAT
3301,JAWA TENGAH I,[32676],8,JAWA TENGAH
3302,JAWA TENGAH II,[32676],7,JAWA TENGAH
3303,JAWA TENGAH III,[32676],9,JAWA TENGAH
3304,JAWA TENGAH IV,[32676],7,JAWA TENGAH
3305,JAWA TENGAH V,[32676],8,JAWA TENGAH
3306,JAWA TENGAH VI,[32676],8,JAWA TENGAH
3307,JAWA TENGAH VII,[32676],7,JAWA TENGAH
3308,JAWA TENGAH VIII,[32676],8,JAWA TENGAH
3309,JAWA TENGAH IX,[32676],8,JAWA TENGAH
3310,JAWA TENGAH X,[32676],7,JAWA TENGAH
3401,DAERAH ISTIMEWA YOGYAKARTA,[41863],8,DAERAH ISTIMEWA YOGYAKARTA
3501,JAWA TIMUR I,[42385],10,JAWA TIMUR
3502,JAWA TIMUR II,[42385],7,JAWA TIMUR
3503,JAWA TIMUR III,[42385],7,JAWA TIMUR
3504,JAWA TIMUR IV,[42385],8,JAWA TIMUR
3505,JAWA TIMUR V,[42385],8,JAWA TIMUR
3506,JAWA TIMUR VI,[42385],9,JAWA TIMUR
3507,JAWA TIMUR VII,[42385],8,JAWA TIMUR
3508,JAWA TIMUR VIII,[42385],10,JAWA TIMUR
3509,JAWA TIMUR IX,[42385],6,JAWA TIMUR
3510,JAWA TIMUR X,[42385],6,JAWA TIMUR
3511,JAWA TIMUR XI,[42385],8,JAWA TIMUR
3601,BANTEN I,[51578],6,BANTEN
3602,BANTEN II,[51578],6,BANTEN
3603,BANTEN III,[51578],10,BANTEN
5101,BALI,[53241],9,BALI
5201,NUSA TENGGARA BARAT I,[54020],3,NUSA TENGGARA BARAT
5202,NUSA TENGGARA BARAT II,[54020],8,NUSA TENGGARA BARAT
5301,NUSA TENGGARA TIMUR I,[55065],6,NUSA TENGGARA TIMUR
5302,NUSA TENGGARA TIMUR II,[55065],7,NUSA TENGGARA TIMUR
6101,KALIMANTAN BARAT I,[58285],8,KALIMANTAN BARAT
6102,KALIMANTAN BARAT II,[58285],4,KALIMANTAN BARAT
6201,KALIMANTAN TENGAH,[60371],6,KALIMANTAN TENGAH
6301,KALIMANTAN SELATAN I,[61965],6,KALIMANTAN SELATAN
6302,KALIMANTAN SELATAN II,[61965],5,KALIMANTAN SELATAN
6401,KALIMANTAN TIMUR,[64111],8,KALIMANTAN TIMUR
6501,KALIMANTAN UTARA,[928068],3,KALIMANTAN UTARA
7101,SULAWESI UTARA,[65702],6,SULAWESI UTARA
7201,SULAWESI TENGAH,[67393],7,SULAWESI TENGAH
7301,SULAWESI SELATAN I,[69268],8,SULAWESI SELATAN
7302,SULAWESI SELATAN II,[69268],9,SULAWESI SELATAN
7303,SULAWESI SELATAN III,[69268],7,SULAWESI SELATAN
7401,SULAWESI TENGGARA,[72551],6,SULAWESI TENGGARA
7501,GORONTALO,[74716],3,GORONTALO
7601,SULAWESI BARAT,[75425],4,SULAWESI BARAT
8101,MALUKU,[76096],4,MALUKU
8201,MALUKU UTARA,[77085],3,MALUKU UTARA
9101,PAPUA,[78203],10,PAPUA
9201,PAPUA BARAT,[81877],3,PAPUA BARAT
